"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
1;"STL";"Dick Ricketts";"Duquesne University";"3";212;5677;1974;1337;447;0,328;NA;0,692;26,8;9,3;6,3;2,1;2,1;0,018;NA;NA;1955
2;"ROC";"Maurice Stokes";"Saint Francis University";"3";202;7544;3315;3492;1062;0,351;NA;0,698;37,3;16,4;17,3;5,3;16,1;0,102;NA;NA;1955
3;"BOS";"Jim Loscutoff";"University of Oregon";"9";511;9431;3156;2848;353;0,345;NA;0,653;18,5;6,2;5,6;0,7;3,4;0,017;NA;NA;1955
4;"NYK";"Kenny Sears";"Santa Clara University";"8";529;14923;7355;4142;843;0,455;NA;0,826;28,2;13,9;7,8;1,6;55,8;0,179;NA;NA;1955
5;"SYR";"Ed Conlin";"Fordham University";"7";486;11392;4891;2349;949;0,37;NA;0,75;23,4;10,1;4,8;2;14,2;0,06;NA;NA;1955
6;"FTW";"Johnny Horan";"University of Dayton";"1";19;93;34;10;2;0,286;NA;0,909;4,9;1,8;0,5;0,1;-0,1;-0,075;NA;NA;1955
7;"STL";"Jack Stephens";"University of Notre Dame";"1";72;2219;743;377;207;0,386;NA;0,692;30,8;10,3;5,2;2,9;4,8;0,103;NA;NA;1955
8;"ROC";"Jack Twyman";"University of Cincinnati";"11";823;26147;15840;5424;1861;0,45;NA;0,778;31,8;19,2;6,6;2,3;75;0,138;NA;NA;1955
9;"PHW";"Corky Devlin";"George Washington University";"3";210;4025;1496;449;446;0,366;NA;0,742;19,2;7,1;2,1;2,1;3,8;0,046;NA;NA;1955
10;"BOS";"Dick Hemric";"Wake Forest University";"2";138;2384;863;703;102;0,377;NA;0,669;17,3;6,3;5,1;0,7;5,3;0,106;NA;NA;1955
11;"NYK";"Jerry Mullen";"University of San Francisco";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
12;"MNL";"Chuck Mencel";"University of Minnesota";"2";141;2821;983;347;333;0,341;NA;0,765;20;7;2,5;2,4;1,9;0,033;NA;NA;1955
13;"FTW";"Jesse Arnelle";"Pennsylvania State University";"1";31;409;147;170;18;0,317;NA;0,623;13,2;4,7;5,5;0,6;0;-0,001;NA;NA;1955
14;"SYR";"Don Schlundt";"Indiana University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
15;"STL";"Al Ferrari";"Michigan State University";"6";371;7582;2525;830;943;0,368;NA;0,76;20,4;6,8;2,2;2,5;8,9;0,056;NA;NA;1955
16;"ROC";"Ed Fleming";"Niagara University";"5";292;6186;2511;1532;544;0,359;NA;0,731;21,2;8,6;5,2;1,9;9,8;0,076;NA;NA;1955
17;"PHW";"Bob Schafer";"Villanova University";"2";65;745;273;82;68;0,298;NA;0,777;11,5;4,2;1,3;1;-0,7;-0,048;NA;NA;1955
18;"BOS";"Buzz Wilkinson";"University of Virginia";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
19;"NYK";"Guy Sparrow";"University of Detroit Mercy";"3";150;2583;1167;728;142;0,358;NA;0,608;17,2;7,8;4,9;0,9;0,1;0,003;NA;NA;1955
20;"MNL";"Dick Boushka";"Saint Louis University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
21;"SYR";"Jack Sallee";"University of Dayton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
22;"FTW";"Ron Bennink";"Washington State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
23;"STL";"Burdette Haldorson";"University of Colorado";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
24;"ROC";"Bob McKeen";"University of California";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
25;"PHW";"Ed Wiener";"University of Tennessee";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
26;"BOS";"Bart Leach";"University of Pennsylvania";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
27;"NYK";"Ed Cole";"Creighton University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1955
